School Type,India/ State/ UTs,Gender,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Upper Primary School,Madhya Pradesh,Boy,NA,1855784,1864236,2156596,2364654,2481031,2531434,2559644,2555860,2409056
Upper Primary School,Madhya Pradesh,Girl,NA,1212433,1258462,1670352,1888615,2024475,2147685,2224059,2306009,2355025
Upper Primary School,Maharashtra,Total,5724999,5957208,6087790,6188552,5270999,6325891,5398019,5519357,5517029,5695622
Upper Primary School,Maharashtra,Boy,NA,3192121,3236109,3277661,2760422,3288865,2872632,2924110,2931620,3030548
Upper Primary School,Maharashtra,Girl,NA,2765087,2851681,2910891,2510577,3037026,2525387,2595247,2585409,2665074
Upper Primary School,Manipur,Total,126905,124910,132910,137300,141691,146842,147595,147283,146559,148251
Upper Primary School,Manipur,Boy,NA,64218,70210,72315,74725,77437,77617,77467,77081,77640
Upper Primary School,Manipur,Girl,NA,60692,62700,64985,66966,69405,69978,69816,69478,70611
Upper Primary School,Meghalaya,Total,96110,104420,122027,136840,153689,179729,180466,158267,158467,159184
Upper Primary School,Meghalaya,Boy,NA,50017,60854,65594,75386,87696,88078,75568,75625,75259
Upper Primary School,Meghalaya,Girl,NA,54403,61173,71246,78303,92033,92388,82699,82842,83925
Upper Primary School,Mizoram,Total,49572,51349,51096,51514,74332,54332,53071,58749,61675,65006
Upper Primary School,Mizoram,Boy,NA,26210,26112,26301,37790,27849,27148,30356,31991,33745
Upper Primary School,Mizoram,Girl,NA,25139,24984,25213,36542,26483,25923,28393,29684,31261
Upper Primary School,Nagaland,Total,65683,59244,76539,85620,92271,92271,90226,90226,90226,90226
Upper Primary School,Nagaland,Boy,NA,30679,38876,44547,47291,47291,46104,46104,46104,46104
Upper Primary School,Nagaland,Girl,NA,28565,37663,41073,44980,44980,44122,44122,44122,44122
Upper Primary School,Odisha,Total,1505000,1473245,1428256,1840933,1559385,1854103,1958667,2041413,2020896,1963170
Upper Primary School,Odisha,Boy,NA,815766,786434,997910,845081,1001821,1034671,1075305,1054038,1019825
Upper Primary School,Odisha,Girl,NA,657479,641822,843023,714304,852282,923996,966108,966858,943345
Upper Primary School,Puducherry,Total,66257,66712,67258,67096,66421,67560,69423,70886,70588,72425
Upper Primary School,Puducherry,Boy,NA,34753,34952,35018,34737,35308,36184,37068,36313,37510
Upper Primary School,Puducherry,Girl,NA,31959,32306,32078,31684,32252,33239,33818,34275,34915
Upper Primary School,Punjab,Total,992701,1007386,1038388,1042094,1063612,1074147,1080202,1352952,1059856,1332040
Upper Primary School,Punjab,Boy,NA,530196,551187,555492,570997,582416,589484,751336,581294,743764
Upper Primary School,Punjab,Girl,NA,477190,487201,486602,492615,491731,490718,601616,478562,588276
Upper Primary School,Rajasthan,Total,3306503,2513345,2837004,3156811,3360529,3667437,3754045,3880647,3928043,3850002
Upper Primary School,Rajasthan,Boy,NA,1646341,1811621,2003374,2086556,2237452,2250440,2301305,2308038,2213227
Upper Primary School,Rajasthan,Girl,NA,867004,1025383,1153437,1273973,1429985,1503605,1579342,1620005,1636775
Upper Primary School,Sikkim,Total,24622,28083,24802,28683,31983,31119,31366,31237,33175,33175
Upper Primary School,Sikkim,Boy,NA,13611,11551,13529,15109,14671,14507,14323,15150,15150
Upper Primary School,Sikkim,Girl,NA,14472,13251,15154,16874,16448,16859,16914,18025,18025
Upper Primary School,Tamil Nadu,Total,3524036,3517039,3600870,3697858,3633616,3661924,3709961,3730210,3735168,3687045
Upper Primary School,Tamil Nadu,Boy,NA,1828718,1884470,1934301,1893095,1897478,1932515,1943045,1935096,1904692
Upper Primary School,Tamil Nadu,Girl,NA,1688321,1716400,1763557,1740521,1764446,1777446,1787165,1800072,1782353
Upper Primary School,Tripura,Total,165591,180513,186651,187590,197186,204458,205865,219846,219303,215680
Upper Primary School,Tripura,Boy,NA,94965,98674,99196,101065,104719,105504,112135,111489,109716
Upper Primary School,Tripura,Girl,NA,85548,87977,88394,96121,99739,100361,107711,107814,105964
Upper Primary School,Uttar Pradesh,Total,4671768,6553162,6948243,7098022,7271947,7452676,9347607,9498192,9500226,10720593
Upper Primary School,Uttar Pradesh,Boy,NA,3850652,4082817,4168396,4271364,4376159,5158258,5218673,5219366,5830870
Upper Primary School,Uttar Pradesh,Girl,NA,2702510,2865426,2929626,3000583,3076517,4189349,4279519,4280860,4889723
Upper Primary School,Uttarakhand,Total,489440,523383,542742,552252,560882,570723,572895,646782,626216,627972
Upper Primary School,Uttarakhand,Boy,NA,279872,283169,287620,290784,295135,296423,326579,316359,318099
Upper Primary School,Uttarakhand,Girl,NA,243511,259573,264632,270098,275588,276472,320203,309857,309873
Upper Primary School,West Bengal,Total,3210627,3398454,3818261,3622026,3624219,3844699,3807261,3910035,4407822,4512411
Upper Primary School,West Bengal,Boy,NA,1809940,2004877,1945462,1977846,1941345,1918288,1956876,2145368,2235303
Upper Primary School,West Bengal,Girl,NA,1588514,1813384,1676564,1646373,1903354,1888973,1953159,2262454,2277108
