Age Slab,India/ State/ UTs,Gender,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
6-14 Years Old,Andhra Pradesh,Girl,NA,NA,NA,61.08,60.4,57.85,49.78,41.3,41.7,32.7
6-14 Years Old,Arunachal Pradesh,Total,60.62,58.01,63.52,62.63,54.11,54.04,47.99,44.2,47,50.5
6-14 Years Old,Arunachal Pradesh,Boy,NA,NA,NA,63.23,54.05,53.94,48.09,44.9,48.5,51.7
6-14 Years Old,Arunachal Pradesh,Girl,NA,NA,NA,61.9,54.19,54.16,47.87,43.3,45.1,49.1
6-14 Years Old,Assam,Total,69.21,68.76,70.81,73.38,73.48,73.56,69.3,68.3,61.2,54
6-14 Years Old,Assam,Boy,NA,NA,NA,72.41,72.6,72.69,69.73,68.2,59.9,49.8
6-14 Years Old,Assam,Girl,NA,NA,NA,74.6,74.6,74.68,68.81,68.3,62.6,58.2
6-14 Years Old,Bihar,Total,74.79,79.01,78.03,74.69,73.37,76.11,70.69,58.3,66,58.3
6-14 Years Old,Bihar,Boy,NA,NA,NA,73.57,72.3,76.03,71.83,60.2,65,58.5
6-14 Years Old,Bihar,Girl,NA,NA,NA,76.44,75,76.23,68.79,55.4,67.3,58
6-14 Years Old,Chhattisgarh,Total,NA,NA,NA,NA,NA,NA,NA,37.5,40.7,48.3
6-14 Years Old,Chhattisgarh,Boy,NA,NA,NA,NA,NA,NA,NA,37.9,39,47.7
6-14 Years Old,Chhattisgarh,Girl,NA,NA,NA,NA,NA,NA,NA,37.2,42.4,49
6-14 Years Old,Dadra and Nagar Haveli,Total,55.41,48,45.24,51.95,40.24,43.98,34.87,58.7,43.3,33.7
6-14 Years Old,Dadra and Nagar Haveli,Boy,NA,NA,NA,44.81,30.94,34.26,24.54,53.2,33.4,27.4
6-14 Years Old,Dadra and Nagar Haveli,Girl,NA,NA,NA,60.55,51.1,55.35,46.73,65,53.4,40.2
6-14 Years Old,Daman and Diu,Total,16.68,14.83,17.36,17.03,7.34,12.77,14.34,9.3,10.7,10.8
6-14 Years Old,Daman and Diu,Boy,NA,NA,NA,12.91,3.15,11.8,11.51,4.3,9.3,13.1
6-14 Years Old,Daman and Diu,Girl,NA,NA,NA,21.29,11.87,13.9,17.67,14.9,12.3,8.3
6-14 Years Old,Gujarat,Total,52.52,45.48,46.94,46.34,46.41,49.29,48.22,44.3,39.7,46.7
6-14 Years Old,Gujarat,Boy,NA,NA,NA,43.63,42.57,45.17,44.48,46.4,32.2,44.6
6-14 Years Old,Gujarat,Girl,NA,NA,NA,50,51.45,54.59,53.02,40.8,48.1,49.4
6-14 Years Old,Himachal Pradesh,Total,21.9,9.56,14.28,15.89,10.82,4.5,NA,NA,2.4,NA
6-14 Years Old,Himachal Pradesh,Boy,NA,NA,NA,13.48,8.7,3.22,NA,NA,1.4,NA
6-14 Years Old,Himachal Pradesh,Girl,NA,NA,NA,18.36,13.02,5.88,NA,0.9,3.4,NA
6-14 Years Old,Jammu and Kashmir,Total,30.14,26.71,47.49,38.57,38.14,41.18,40.5,25.2,22,6.1
6-14 Years Old,Jammu and Kashmir,Boy,NA,NA,NA,39.72,44.13,44.12,40.89,28.5,23.8,7.8
6-14 Years Old,Jammu and Kashmir,Girl,NA,NA,NA,37.02,28.45,36.98,39.99,20.9,19.8,4
6-14 Years Old,Jharkhand,Total,NA,NA,NA,NA,NA,NA,NA,60.3,52.4,45.1
6-14 Years Old,Jharkhand,Boy,NA,NA,NA,NA,NA,NA,NA,55.8,53.9,48.4
6-14 Years Old,Jharkhand,Girl,NA,NA,NA,NA,NA,NA,NA,65.8,50.6,41.2
6-14 Years Old,Karnataka,Total,50.99,48.46,50.59,49.99,44.83,38.79,33.89,30.2,25.9,20.8
6-14 Years Old,Karnataka,Boy,NA,NA,NA,49.81,44.34,38.75,33.08,30.3,25,20.1
6-14 Years Old,Karnataka,Girl,NA,NA,NA,50.21,45.37,38.83,34.77,30.1,26.7,21.5
6-14 Years Old,Lakshadweep,Total,23.42,4.48,4.9,16.41,7.57,NA,NA,15.9,9,12.7
6-14 Years Old,Lakshadweep,Boy,NA,NA,NA,2.91,5.89,NA,NA,16.7,13.3,15.5
6-14 Years Old,Lakshadweep,Girl,NA,NA,NA,31.24,9.42,NA,NA,15.1,3.8,9.7
6-14 Years Old,Madhya Pradesh,Total,50.11,46.94,46.81,43.95,40.88,48.42,46.1,30.3,24.4,30.7
6-14 Years Old,Madhya Pradesh,Boy,NA,NA,NA,43.09,40.64,48.71,45.95,30.9,23.7,34
6-14 Years Old,Madhya Pradesh,Girl,NA,NA,NA,45.07,41.19,48.06,46.28,29.5,25.2,27
